date,heartrate
2025-03-07 11:55:48 +0100,146.0
2025-03-07 11:55:52 +0100,143.0
2025-03-07 11:55:57 +0100,138.0
2025-03-07 11:56:01 +0100,132.0
2025-03-07 11:56:06 +0100,133.0
2025-03-07 11:56:11 +0100,135.0
2025-03-07 11:56:16 +0100,130.0
2025-03-07 11:56:19 +0100,131.0
2025-03-07 11:56:24 +0100,124.0
2025-03-07 11:56:33 +0100,127.0
2025-03-07 11:56:38 +0100,123.0
2025-03-07 11:56:42 +0100,124.0
2025-03-07 11:56:47 +0100,124.0
2025-03-07 11:56:49 +0100,124.0
2025-03-07 11:56:54 +0100,119.0
2025-03-07 11:56:59 +0100,123.0
2025-03-07 11:57:07 +0100,119.0
2025-03-07 11:57:09 +0100,119.0
2025-03-07 11:57:18 +0100,111.0
2025-03-07 11:57:23 +0100,109.0
2025-03-07 11:57:24 +0100,110.0
2025-03-07 11:57:29 +0100,111.0
2025-03-07 11:57:38 +0100,117.0
2025-03-07 11:57:43 +0100,113.0
2025-03-07 11:57:46 +0100,114.0
2025-03-07 11:57:49 +0100,112.0
2025-03-07 11:57:58 +0100,113.0
2025-03-07 11:58:00 +0100,113.0
2025-03-07 11:58:07 +0100,112.0
2025-03-07 11:58:09 +0100,112.0
2025-03-07 11:58:17 +0100,108.0
2025-03-07 11:58:23 +0100,112.0
2025-03-07 11:58:25 +0100,113.0
2025-03-07 11:58:33 +0100,109.0
2025-03-07 11:58:37 +0100,108.0
2025-03-07 11:58:40 +0100,109.0
2025-03-07 11:58:45 +0100,109.0
2025-03-07 11:58:53 +0100,114.0
2025-03-07 11:58:55 +0100,114.0
2025-03-07 11:59:03 +0100,107.0
2025-03-07 11:59:08 +0100,106.0
2025-03-07 11:59:09 +0100,107.0
2025-03-07 11:59:14 +0100,108.0
2025-03-07 11:59:19 +0100,112.0
2025-03-07 11:59:28 +0100,124.0
2025-03-07 11:59:33 +0100,120.0
2025-03-07 11:59:35 +0100,120.0
2025-03-07 11:59:43 +0100,122.0
2025-03-07 11:59:44 +0100,123.0
2025-03-07 11:59:50 +0100,123.0
2025-03-07 11:59:54 +0100,125.0
2025-03-07 12:00:00 +0100,130.0
2025-03-07 12:00:06 +0100,139.0
2025-03-07 12:00:11 +0100,143.0
2025-03-07 12:00:17 +0100,149.0
2025-03-07 12:00:23 +0100,153.0
2025-03-07 12:00:25 +0100,154.0
2025-03-07 12:00:30 +0100,158.0
2025-03-07 12:00:35 +0100,159.0
2025-03-07 12:00:40 +0100,158.0
2025-03-07 12:00:46 +0100,157.0
2025-03-07 12:00:52 +0100,157.0
2025-03-07 12:00:56 +0100,157.0
2025-03-07 12:01:01 +0100,160.0
2025-03-07 12:01:07 +0100,162.0
2025-03-07 12:01:13 +0100,160.0
2025-03-07 12:01:18 +0100,159.0
2025-03-07 12:01:23 +0100,159.0
2025-03-07 12:01:25 +0100,158.0
2025-03-07 12:01:31 +0100,156.0
2025-03-07 12:01:34 +0100,156.0
2025-03-07 12:01:39 +0100,153.0
2025-03-07 12:01:44 +0100,147.0
